indicator_id,milestone,area,month,skill,level,category,general_category
183,Looks for a dropped object,Cognitive,6,Abstract thinking and early knowledge,Basic,Abstract reasoning,Cognitive
199,"Notices the characteristics of objects such as shape, texture, or size (e.g. some things roll and some don't)",Cognitive,12,Abstract thinking and early knowledge,Basic,Abstract reasoning,Cognitive
206,Pays attention to the location of objects he/she has seen hidden,Cognitive,9,Abstract thinking and early knowledge,Basic,Abstract reasoning,Cognitive
12,Searches for hidden toys,Cognitive,9,Abstract thinking and early knowledge,Basic,Abstract reasoning,Cognitive
203,Finds hidden objects under one cover,Cognitive,9,Abstract thinking and early knowledge,Basic,Abstract reasoning,Cognitive
69,Identifies animals by their sounds; knows which animal makes which sound,Cognitive,11,Abstract thinking and early knowledge,Basic,Imitation,Cognitive
148,Understands certain norms (e.g. knows that paint goes on paper),Cognitive,18,Abstract thinking and early knowledge,Intermediate,Knowledge,Cognitive
317,Finds objects hidden under two or three covers,Cognitive,24,Abstract thinking and early knowledge,Advanced,Abstract reasoning,Cognitive
385,Knows the difference between up and down,Cognitive,18,Abstract thinking and early knowledge,Intermediate,Abstract reasoning,Cognitive
386,Knows the difference between front and back,Cognitive,18,Abstract thinking and early knowledge,Intermediate,Abstract reasoning,Cognitive
387,Knows the difference between in and out,Cognitive,18,Abstract thinking and early knowledge,Intermediate,Abstract reasoning,Cognitive
334,Knows the difference between one or two and many,Cognitive,24,Abstract thinking and early knowledge,Advanced,Abstract reasoning,Cognitive
569,Knows the difference between loud and soft volume,Cognitive,22,Abstract thinking and early knowledge,Advanced,Abstract reasoning,Cognitive
523,Knows the difference between big and small objects,Cognitive,24,Abstract thinking and early knowledge,Advanced,Abstract reasoning,Cognitive
548,Makes simple comparisons between two objects (e.g. identifying which one is larger),Cognitive,24,Abstract thinking and early knowledge,Advanced,Abstract reasoning,Cognitive
574,Understands the function of one or more body parts (e.g. ears are for hearing),Cognitive,24,Abstract thinking and early knowledge,Advanced,Abstract reasoning,Cognitive
568,Identifies tools used for different professions (e.g. a doctor's stethoscope),Cognitive,24,Abstract thinking and early knowledge,Advanced,Early knowledge,Cognitive
578,Recognizes that plants are living things (e.g. helps water them),Cognitive,24,Abstract thinking and early knowledge,Advanced,Early knowledge,Cognitive
579,"Recognizes different professions in images (e.g. ""doctor"")",Cognitive,24,Abstract thinking and early knowledge,Advanced,Early knowledge,Cognitive
237,Demonstrates satisfaction when fed and caressed,Social and Emotional,4,Affection and Attachment,Basic,Affection and attachment,Social_Emotional
122,Calms down when he/she hears familiar voices,Social and Emotional,3,Affection and Attachment,Basic,Affection and attachment,Social_Emotional
129,Reacts with joy towards signs of affection,Social and Emotional,4,Affection and Attachment,Basic,Affection and attachment,Social_Emotional
283,Smiles at people,Social and Emotional,2,Affection and Attachment,Basic,Affection and attachment,Social_Emotional
97,Recognizes his/her parents,Social and Emotional,4,Affection and Attachment,Basic,Affection and attachment,Social_Emotional
20,Stretches his/her arms to be carried,Social and Emotional,6,Affection and Attachment,Intermediate,Affection and attachment,Social_Emotional
111,Responds differently towards a family member than a stranger,Social and Emotional,6,Affection and Attachment,Intermediate,Affection and attachment,Social_Emotional
186,Is shy or anxious with strangers,Social and Emotional,12,Affection and Attachment,Intermediate,Affection and attachment,Social_Emotional
252,Recognizes and interacts with familiar people,Social and Emotional,10,Affection and Attachment,Intermediate,Affection and attachment,Social_Emotional
253,Is playful with others,Social and Emotional,10,Affection and Attachment,Intermediate,Affection and attachment,Social_Emotional
36,Shows preferences for certain people and toys,Social and Emotional,12,Affection and Attachment,Intermediate,Affection and attachment,Social_Emotional
308,Shows affection to familiar people,Social and Emotional,18,Affection and Attachment,Advanced,Affection and attachment,Social_Emotional
384,Searches for familiar people when they're named,Social and Emotional,15,Affection and Attachment,Advanced,Affection and attachment,Social_Emotional
441,Associates objects with the family members that use them (e.g. mom's purse),Social and Emotional,19,Affection and Attachment,Advanced,Affection and attachment,Social_Emotional
247,"Makes guttural, gurgling sounds like ""ga"", ""gu"", ""gr"" ",Linguistic,2,Babbling,Basic,Babbling,Language
79,Expresses like or dislike with his/her face or shrieks,Linguistic,4,Babbling,Basic,Babbling,Language
143,Vocalizes as a response towards someone's voice,Linguistic,6,Babbling,Intermediate,Babbling,Language
197,"Emits vowel sounds, such as ""eh"" or ""ah""",Linguistic,6,Babbling,Intermediate,Babbling,Language
301,Varies the tone or intensity of his/her babbling,Linguistic,6,Babbling,Intermediate,Babbling,Language
31,"Makes repeated syllable sounds (consonant with vowel ""baba, dada..."") ",Linguistic,6,Babbling,Intermediate,Babbling,Language
196,"Says consonant sounds (""m, n, p, t, dÄ"")",Linguistic,6,Babbling,Intermediate,Babbling,Language
23,"Babbles with inflection, imitating conversations",Linguistic,12,Babbling,Advanced,Babbling,Language
54,Imitates a syllable pronounced by someone else,Linguistic,9,Babbling,Advanced,Babbling,Language
126,Interacts with other kids by babbling,Linguistic,10,Babbling,Advanced,Babbling,Language
3,Shakes arms when something catches his/her attention,Linguistic,5,Communicating through gestures,Basic,Gesturing,Language
278,Points to obtain an object he/she wants,Linguistic,8,Communicating through gestures,Intermediate,Gesturing,Language
22,Uses simple gestures like waving bye-bye or clapping,Linguistic,12,Communicating through gestures,Advanced,Gesturing,Language
88,Asks for help by babbling or gesturing,Linguistic,12,Communicating through gestures,Advanced,Gesturing,Language
64,"While lying face down, lifts one arm supporting his/her weight on the other one",Physical,5,Crawling,Basic,Crawling,Locomotor
158,Extends his/her arms forward while lying face down,Physical,4,Crawling,Basic,Crawling,Locomotor
239,Uses legs to push him/herself forward while lying face down,Physical,5,Crawling,Basic,Crawling,Locomotor
269,Stretches out to reach something while lying face down,Physical,5,Crawling,Basic,Crawling,Locomotor
9,Props him/herself up on extended arms while lying face down,Physical,4,Crawling,Basic,Crawling,Locomotor
265,Can move around dragging him/herself without lifting the belly,Physical,6,Crawling,Intermediate,Crawling,Locomotor
116,Drags him/herself to reach something,Physical,7,Crawling,Intermediate,Crawling,Locomotor
